TBD,punctuation,TBD1,avgWordLen,numLetters,numwords,dialogue
0.0,1.0,0.0,4.0,28.0,7.0,0.0
0.0,1.0,0.0,8.0,8.0,1.0,0.0
0.0,1.0,0.0,8.0,8.0,1.0,0.0
0.0,1.0,0.0,4.0,24.0,6.0,0.0
0.0,1.0,0.0,3.6666666666666665,11.0,3.0,0.0
0.0,1.0,0.0,4.111111111111111,37.0,9.0,0.0
0.0,1.0,0.0,4.611111111111111,83.0,18.0,0.0
0.0,1.0,0.0,5.333333333333333,16.0,3.0,1.0
0.0,1.0,0.0,5.333333333333333,16.0,3.0,0.0
0.0,2.0,0.0,4.285714285714286,60.0,14.0,0.0
0.0,2.0,0.0,4.333333333333333,39.0,9.0,1.0
0.0,3.0,0.0,3.0714285714285716,43.0,14.0,0.0
0.0,2.0,0.0,6.0,36.0,6.0,1.0
0.0,5.0,0.0,4.470588235294118,76.0,17.0,1.0
0.0,2.0,0.0,3.4285714285714284,24.0,7.0,0.0
0.0,1.0,0.0,3.8421052631578947,73.0,19.0,0.0
0.0,1.0,0.0,4.333333333333333,13.0,3.0,0.0
0.0,1.0,0.0,4.833333333333333,29.0,6.0,0.0
0.0,1.0,0.0,4.8,48.0,10.0,0.0
0.0,1.0,0.0,4.5,27.0,6.0,0.0
0.0,1.0,0.0,4.25,17.0,4.0,1.0
0.0,1.0,0.0,4.75,19.0,4.0,0.0
0.0,2.0,0.0,4.571428571428571,32.0,7.0,0.0
0.0,3.0,0.0,4.777777777777778,43.0,9.0,0.0
0.0,3.0,0.0,4.6,115.0,25.0,0.0
0.0,3.0,0.0,3.75,45.0,12.0,0.0
0.0,8.0,0.0,4.325581395348837,186.0,43.0,0.0
0.0,1.0,0.0,4.45,89.0,20.0,0.0
0.0,1.0,0.0,3.6923076923076925,48.0,13.0,0.0
0.0,1.0,0.0,4.433333333333334,133.0,30.0,0.0
0.0,1.0,0.0,5.833333333333333,35.0,6.0,0.0
0.0,2.0,0.0,5.0,15.0,3.0,1.0
0.0,1.0,0.0,3.0,18.0,6.0,0.0
0.0,1.0,0.0,3.3,33.0,10.0,0.0
0.0,1.0,0.0,5.0,25.0,5.0,0.0
0.0,2.0,0.0,5.5,33.0,6.0,1.0
0.0,1.0,0.0,5.875,47.0,8.0,0.0
0.0,2.0,0.0,4.571428571428571,32.0,7.0,1.0
0.0,1.0,0.0,5.25,21.0,4.0,0.0
0.0,1.0,0.0,4.0,32.0,8.0,0.0
0.0,2.0,0.0,3.5,35.0,10.0,0.0
0.0,2.0,0.0,3.8333333333333335,23.0,6.0,0.0
0.0,3.0,0.0,3.2,16.0,5.0,0.0
0.0,2.0,0.0,3.875,31.0,8.0,0.0
0.0,2.0,0.0,6.0,18.0,3.0,1.0
0.0,2.0,0.0,2.888888888888889,26.0,9.0,0.0
0.0,3.0,0.0,3.769230769230769,49.0,13.0,1.0
0.0,1.0,0.0,6.666666666666667,20.0,3.0,0.0
0.0,2.0,0.0,3.727272727272727,41.0,11.0,0.0
0.0,1.0,0.0,4.533333333333333,68.0,15.0,0.0
0.0,1.0,0.0,4.294117647058823,73.0,17.0,0.0
0.0,4.0,0.0,3.888888888888889,105.0,27.0,1.0
0.0,1.0,0.0,5.4,27.0,5.0,0.0
